Nombre,Apellido,team_name,Posicion,opponent_name,is_home,Precio,form,difficulty,valor,tendencia,status
Nathan,Aké,Man City,Defender,Liverpool,True,53,1.6,1265,0.30188679245283023,-1,a
Morgan,Gibbs-White,Nott'm Forest,Midfielder,Leeds,True,73,2.2,1145,0.30136986301369867,0,a
Tanaka,Ao,Leeds,Midfielder,Nott'm Forest,False,48,1.4,1100,0.2916666666666667,0,a
Alexis,Mac Allister,Liverpool,Midfielder,Man City,False,63,1.8,1250,0.28571428571428575,0,a
Evann,Guessand,Aston Villa,Midfielder,Bournemouth,True,63,1.8,1220,0.28571428571428575,0,a
Noussair,Mazraoui,Man Utd,Defender,Spurs,False,49,1.4,1165,0.2857142857142857,0,a
Alejandro,Garnacho Ferreyra,Chelsea,Midfielder,Wolves,True,64,1.8,1085,0.28125,0,a
Hugo,Ekitiké,Liverpool,Forward,Man City,False,86,2.4,1250,0.27906976744186046,0,a
Patrick,Dorgu,Man Utd,Defender,Spurs,False,43,1.2,1165,0.27906976744186046,0,a
Phil,Foden,Man City,Midfielder,Liverpool,True,80,2.2,1265,0.275,0,a
Ferdi,Kadıoğlu,Brighton,Defender,Crystal Palace,False,44,1.2,1165,0.2727272727272727,0,a
Felipe,Rodrigues da Silva,Nott'm Forest,Defender,Leeds,True,44,1.2,1145,0.2727272727272727,0,a
João Pedro,Junqueira de Jesus,Chelsea,Forward,Wolves,True,74,2.0,1085,0.27027027027027023,0,a
Lewis,Hall,Newcastle,Defender,Brentford,False,52,1.4,1135,0.2692307692307692,0,a
Xavi,Simons,Spurs,Midfielder,Man Utd,True,67,1.8,1205,0.26865671641791045,-1,a
Lutsharel,Geertruida,Sunderland,Defender,Arsenal,True,45,1.2,1375,0.26666666666666666,0,a
Wilson,Odobert,Spurs,Midfielder,Man Utd,True,53,1.4,1205,0.2641509433962264,0,a
Stefanos,Tzimas,Brighton,Forward,Crystal Palace,False,53,1.4,1165,0.2641509433962264,0,a
Oscar,Bobb,Man City,Midfielder,Liverpool,True,54,1.4,1265,0.25925925925925924,0,a
Carlos,Baleba,Brighton,Midfielder,Crystal Palace,False,47,1.2,1165,0.2553191489361702,0,a
Crysencio,Summerville,West Ham,Midfielder,Burnley,True,55,1.4,1095,0.2545454545454545,0,a
Lamare,Bogarde,Aston Villa,Defender,Bournemouth,True,40,1.0,1220,0.25,0,a
Robert,Lynch Sánchez,Chelsea,Goalkeeper,Wolves,True,48,1.2,1085,0.25,0,a
Manuel,Ugarte Ribeiro,Man Utd,Midfielder,Spurs,False,48,1.2,1165,0.25,0,a
Chris,Rigg,Sunderland,Midfielder,Arsenal,True,48,1.2,1375,0.25,0,a
Charalampos,Kostoulas,Brighton,Forward,Crystal Palace,False,48,1.2,1165,0.25,0,a
Dan,Ndoye,Nott'm Forest,Midfielder,Leeds,True,57,1.4,1145,0.24561403508771928,0,a
Hannibal,Mejbri,Burnley,Midfielder,West Ham,False,49,1.2,1075,0.24489795918367344,0,a
Diego,Gómez Amarilla,Brighton,Midfielder,Crystal Palace,False,49,1.2,1165,0.24489795918367344,0,a
Kiernan,Dewsbury-Hall,Everton,Midfielder,Fulham,True,49,1.2,1130,0.24489795918367344,0,a
Tom,Cairney,Fulham,Midfielder,Everton,False,49,1.2,1100,0.24489795918367344,0,a
Keane,Lewis-Potter,Brentford,Defender,Newcastle,True,49,1.2,1220,0.24489795918367344,0,a
Ben,Gannon-Doak,Bournemouth,Midfielder,Aston Villa,False,49,1.2,1145,0.24489795918367344,0,a
Yéremy,Pino Santos,Crystal Palace,Midfielder,Brighton,True,58,1.4,1160,0.24137931034482757,0,a
David,Brooks,Bournemouth,Midfielder,Aston Villa,False,50,1.2,1145,0.24,0,a
Mohamed,Salah,Liverpool,Midfielder,Man City,False,142,3.4,1250,0.23943661971830987,0,a
Giorgi,Mamardashvili,Liverpool,Goalkeeper,Man City,False,43,1.0,1250,0.23255813953488372,0,a
Kyle,Walker-Peters,West Ham,Defender,Burnley,True,43,1.0,1095,0.23255813953488372,-1,a
Jack,Harrison,Leeds,Midfielder,Nott'm Forest,False,52,1.2,1100,0.23076923076923075,0,a
Adama,Traoré Diarra,Fulham,Midfielder,Everton,False,52,1.2,1100,0.23076923076923075,0,a
Andy,Irving,West Ham,Midfielder,Burnley,True,44,1.0,1095,0.22727272727272727,0,a
Destiny,Udogie,Spurs,Defender,Man Utd,True,44,1.0,1205,0.22727272727272727,0,a
Jorge,Cuenca Barreno,Fulham,Defender,Everton,False,44,1.0,1100,0.22727272727272727,0,a
Tolu,Arokodare,Wolves,Forward,Chelsea,False,55,1.2,1180,0.21818181818181817,0,a
Brian,Brobbey,Sunderland,Forward,Arsenal,True,55,1.2,1375,0.21818181818181817,0,a
Kobbie,Mainoo,Man Utd,Midfielder,Spurs,False,47,1.0,1165,0.2127659574468085,-1,a
Anthony,Elanga,Newcastle,Midfielder,Brentford,False,67,1.4,1135,0.208955223880597,0,a
Brennan,Johnson,Spurs,Midfielder,Man Utd,True,67,1.4,1205,0.208955223880597,0,a
Jaka,Bijol,Leeds,Defender,Nott'm Forest,False,39,0.8,1100,0.20512820512820515,0,a
Tim,Iroegbunam,Everton,Midfielder,Fulham,True,49,1.0,1130,0.2040816326530612,0,a
