player_id,game_id,type,subType
82,1821389,1,1
387,1821399,1,1
381,1821399,1,1
384,1821399,1,1
384,1821399,1,1
299,1821393,1,2
18,1821401,1,1
403,1821401,1,1
430,1821401,1,1
414,1821401,1,1
119,1821395,1,2
120,1821395,1,1
269,1821395,1,1
597,1821404,1,1
239,1821404,1,1
202,1821391,1,1
604,1821391,1,1
437,1821397,1,1
146,1821414,1,3
137,1821414,1,1
525,1821414,1,1
525,1821414,1,1
525,1821414,1,2
508,1821414,1,1
195,1821414,1,1
299,1821410,1,1
489,1821413,1,1
713,1821413,1,1
338,1821413,1,1
250,1821411,1,1
381,1821406,1,2
381,1821406,1,1
644,1821415,1,1
450,1821415,1,1
125,1821408,1,3
593,1821408,1,1
283,1821412,1,1
283,1821412,1,1
17,1821407,1,1
430,1821407,1,1
10,1821407,1,1
30,1821407,1,1
25,1821407,1,1
624,1821409,1,1
66,1821409,1,1
610,1821409,1,3
386,1821192,1,1
381,1821192,1,1
77,1821192,1,1
388,1821192,2,2
157,1821417,1,1
160,1821417,1,1
160,1821417,1,1
22,1821420,1,1
22,1821420,1,1
413,1821422,1,1
413,1821422,1,1
413,1821422,1,1
426,1821422,1,1
83,1821423,1,1
87,1821423,1,1
84,1821423,1,1
120,1821425,1,1
198,1821416,2,2
250,1821416,1,1
64,1821416,1,1
73,1821419,1,1
525,1821419,1,1
318,1821419,1,1
283,1821418,1,1
383,1821421,1,1
381,1821421,1,2
450,1821421,1,1
581,1821424,1,1
381,1821173,1,1
48,1821173,1,1
64,1821173,1,1
135,1821396,1,1
119,1821396,1,1
24,1821396,1,1
23,1821396,1,1
127,1821390,1,1
201,1821390,1,1
624,1821427,1,1
10,1821427,2,3
71,1821426,2,3
450,1821426,1,1
317,1821392,1,3
256,1821392,1,1
580,1821394,1,1
580,1821394,1,1
693,1821394,1,1
573,1821394,1,1
583,1821394,1,1
249,1821402,1,1
158,1821402,1,1
157,1821402,1,1
163,1821402,1,1
237,1821428,1,1
306,1821400,1,1
497,1821400,1,1
489,1821400,1,1
499,1821400,1,2
499,1821400,1,1
505,1821400,1,1
522,1821400,1,1
381,1821398,1,1
387,1821398,1,1
328,1821134,1,1
673,1821134,1,1
338,1821134,1,1
267,1821137,1,1
47,1821137,1,1
283,1821137,1,1
267,1821137,1,1
284,1821137,1,1
249,1821125,1,2
81,1821125,1,1
178,1821125,1,1
240,1821138,1,1
66,1821138,1,1
227,1821138,1,1
224,1821138,1,1
430,1821130,1,1
238,1821145,1,1
441,1821145,2,3
442,1821145,1,1
135,1821122,1,1
293,1821122,1,1
387,1821142,1,1
386,1821142,1,1
613,1821132,1,1
306,1821161,1,1
713,1821150,1,1
151,1821150,1,1
249,1821150,1,2
267,1821155,1,1
397,1821157,1,1
381,1821157,1,2
381,1821157,1,2
64,1821147,1,1
352,1821167,1,1
648,1821167,1,1
224,1821152,1,1
84,1821163,1,1
97,1821163,1,1
593,1821163,1,1
579,1821163,1,2
127,1821159,1,1
21,1821159,1,1
488,1821165,1,1
654,1821121,1,1
654,1821121,1,1
613,1821175,1,1
293,1821175,1,1
505,1821179,1,1
486,1821179,1,1
486,1821179,1,1
195,1821179,1,1
430,1821183,1,2
147,1821183,1,1
413,1821183,1,1
406,1821183,1,3
125,1821169,1,3
135,1821169,1,1
24,1821169,1,1
338,1821177,1,1
328,1821177,1,1
22,1821171,1,1
465,1821181,1,1
453,1821181,1,1
127,1821181,1,1
654,1821141,1,1
22,1821127,1,1
16,1821127,1,1
338,1821127,1,1
486,1821139,1,1
419,1821148,1,1
413,1821148,1,1
279,1821156,1,1
499,1821154,1,1
119,1821154,1,2
491,1821154,1,1
451,1821135,1,1
53,1821135,1,1
250,1821124,1,1
97,1821124,1,1
440,1821158,1,1
237,1821144,1,1
20,1821166,1,1
299,1821166,1,2
283,1821164,1,1
178,1821164,1,1
256,1821164,1,1
284,1821164,2,2
260,1821164,2,2
151,1821164,2,2
97,1821178,1,1
625,1821178,1,1
624,1821178,1,1
97,1821178,1,1
250,1821170,1,1
654,1821170,1,1
47,1821160,1,1
53,1821160,1,1
195,1821160,1,1
386,1821168,1,1
328,1821168,1,1
324,1821168,1,1
338,1821168,1,1
383,1821168,1,1
580,1821176,1,1
580,1821176,1,1
584,1821176,1,2
489,1821172,1,1
489,1821172,1,1
487,1821172,1,1
266,1821187,1,1
261,1821187,1,1
413,1821187,1,1
364,1821187,1,1
426,1821187,1,1
411,1821187,1,1
64,1821123,1,1
53,1821123,1,1
54,1821123,1,1
249,1821184,1,2
249,1821184,1,2
135,1821182,1,1
161,1821185,1,1
198,1821185,1,3
456,1821185,1,1
383,1821186,1,1
372,1821186,1,3
373,1821186,1,1
402,1821126,1,1
573,1821126,1,3
584,1821126,1,1
654,1821126,1,1
597,1821126,1,1
450,1821126,1,1
491,1821188,1,1
453,1821188,1,1
487,1821188,1,1
487,1821188,1,1
488,1821188,1,1
82,1821180,1,1
489,1821119,1,1
260,1821119,1,3
487,1821119,1,1
474,1821119,1,1
499,1821119,1,1
119,1821334,1,1
119,1821334,1,1
178,1821334,1,1
135,1821334,1,1
249,1821334,2,3
157,1821334,1,1
24,1821334,1,1
261,1821337,2,2
411,1821340,1,1
364,1821340,1,1
624,1821356,1,1
676,1821356,1,1
64,1821329,1,1
474,1821329,1,1
39,1821329,1,1
476,1821329,1,3
59,1821329,1,1
324,1821343,1,1
243,1821343,1,1
66,1821343,1,1
20,1821346,1,1
19,1821346,1,1
20,1821346,1,1
25,1821346,1,1
517,1821354,1,1
525,1821354,1,1
597,1821354,1,1
511,1821368,1,1
451,1821368,1,2
407,1821368,1,1
9,1821360,1,1
266,1821360,1,1
20,1821360,1,1
283,1821360,1,1
251,1821364,1,1
499,1821371,1,2
476,1821371,1,1
500,1821371,1,1
166,1821362,1,1
582,1821362,1,1
613,1821362,1,1
157,1821362,1,1
167,1821362,1,1
450,1821377,1,1
654,1821377,1,1
311,1821377,1,1
73,1821374,1,1
328,1821374,1,1
82,1821358,1,1
97,1821358,2,3
465,1821358,1,1
596,1821366,1,1
383,1821366,1,1
386,1821366,1,1
384,1821366,1,1
381,1821366,1,1
574,1821366,1,3
120,1821372,1,1
135,1821372,1,1
48,1821381,1,1
300,1821387,1,1
161,1821387,1,1
239,1821388,1,1
21,1821379,1,1
97,1821379,1,1
455,1821383,1,1
443,1821383,1,3
120,1821383,1,1
120,1821383,1,1
135,1821383,1,1
453,1821383,1,1
452,1821383,1,1
160,1821335,1,1
499,1821335,1,2
588,1821332,1,1
624,1821332,1,1
237,1821385,1,1
373,1821385,1,1
235,1821385,1,2
266,1821386,1,2
506,1821386,1,1
713,1821341,1,1
292,1821341,1,1
110,1821341,1,1
120,1821344,1,1
178,1821359,1,2
162,1821359,1,1
64,1821338,1,1
202,1821338,2,2
491,1821351,1,1
251,1821351,2,3
488,1821351,1,1
613,1821349,1,1
624,1821349,1,1
137,1821353,1,1
525,1821353,1,1
168,1821353,1,1
266,1821357,1,1
266,1821357,1,1
384,1821347,1,1
383,1821347,1,1
19,1821347,1,1
22,1821347,1,1
22,1821347,2,2
38,1821363,1,1
58,1821363,1,1
224,1821369,1,1
299,1821373,1,1
299,1821373,1,1
137,1821378,1,1
505,1821378,1,1
624,1821378,1,1
713,1821365,1,1
119,1821365,1,1
135,1821365,1,1
331,1821365,1,1
329,1821365,1,1
239,1821375,1,1
21,1821361,1,1
389,1821367,1,1
166,1821367,1,1
387,1821367,1,1
157,1821367,1,1
163,1821367,1,1
631,1821370,1,1
284,1821370,1,1
284,1821370,1,1
654,1821370,1,1
266,1821370,1,1
413,1821376,1,1
511,1821376,1,1
