fpl_name,csv_name,fpl_id,csv_id
João Victor Gomes da Silva,João Pedro,646,373525
Marshall Munetsi,Marshall Munetsi,648,377411
Enso González Medina,Nico González,652,422939
Jørgen Strand Larsen,Jørgen Strand Larsen,654,333048
Nathan Fraser,Nathan Butler-Oyedeji,658,467919
Jhon Arias,Jhon Arias,663,424039
David Møller Wolfe,David Møller Wolfe,682,415341
Jackson Tchatchoua,Jackson Tchatchoua,695,408580
Ladislav Krejcí,Ladislav Krejcí,709,404245
Tolu Arokodare,Tolu Arokodare,720,402056
Mateus Mané,Mateus Mané,749,554310
